id,route,flight_class,days_to_departure,total_seats,booked_seats,remaining_seats,current_price,base_fare,booking_date,time_of_day,day_of_week,is_weekend,is_holiday_window,petrol_price,diesel_price,usd_to_pkr,competitor_min_price,competitor_avg_price,price_vs_competitor_ratio,competitor_data_is_real,demand_ratio
45910,KHI-DXB,Economy,57,180,135,45,39477.82,44837.94581975072,2026-07-01,22,3,0,1,331.25240917522314,379.2002282039456,281.41811134443793,,,,False,0.75
45911,LHE-ISB,Economy,7,180,92,88,12983.69,15096.179715825576,2026-07-01,23,2,0,0,327.94920377857295,376.95226550288197,284.6792502019237,,,,False,0.5111111111111111
45912,KHI-DXB,Business,54,180,54,126,143942.68,110639.33540295118,2026-07-01,0,0,0,1,327.7042666673126,391.00649689284626,282.2332743169677,,,,False,0.3
45913,KHI-DXB,Economy,21,180,96,84,40137.77,44837.94581975072,2026-07-01,1,2,0,0,341.5650649020712,379.0626262582068,268.66299427818535,,,,False,0.5333333333333333
45914,KHI-LHE,Economy,47,180,20,160,21976.13,14965.685953399905,2026-07-01,2,0,0,0,334.45824652066216,392.53038118079974,285.5155667705363,7485.0,8569.0,2.5646084724005136,True,0.1111111111111111
45915,LHE-ISB,Business,6,180,69,111,46019.45,42494.91089800444,2026-07-01,3,1,0,0,326.35024972573603,390.46322912354,281.41119915261976,,,,False,0.38333333333333336
45916,LHE-ISB,Economy,44,180,61,119,15412.25,15096.179715825576,2026-07-01,4,4,0,1,343.1050958657128,392.07040685398033,280.04283914275635,,,,False,0.3388888888888889
45917,KHI-DXB,Economy,41,180,20,160,54242.9,44837.94581975072,2026-07-01,5,1,0,0,341.65396032193814,376.48577570767617,271.560793500035,,,,False,0.1111111111111111
45918,LHE-ISB,Economy,35,180,83,97,15923.8,15096.179715825576,2026-07-01,6,2,0,0,339.422483196263,376.3481594892987,275.55361214504546,,,,False,0.46111111111111114
45919,KHI-PEW,Business,68,180,68,112,40264.22,42737.64187978142,2026-07-01,7,0,0,1,337.9884594569588,377.498020474495,275.1413447275047,,,,False,0.37777777777777777
45920,KHI-PEW,Economy,41,180,30,150,21278.2,14966.173412276461,2026-07-01,8,1,0,0,341.25078360792236,388.0895568607861,279.9413185576838,,,,False,0.16666666666666666
45921,KHI-ISB,Economy,9,180,109,71,18099.38,14814.069359582543,2026-07-01,9,4,0,0,334.65378634055565,390.5560069070771,271.461481955762,7432.0,29077.333333333332,0.6224566672780631,True,0.6055555555555555
45922,KHI-ISB,Economy,34,180,115,65,11513.98,14814.069359582543,2026-07-01,10,1,0,0,341.4982839999562,377.91782940560114,287.05088435188895,7432.0,29077.333333333332,0.39597785216434334,True,0.6388888888888888
45923,LHE-ISB,Economy,9,180,20,160,20800.3,15096.179715825576,2026-07-01,11,4,0,0,337.01398098947845,375.6629291370166,275.3433817788871,,,,False,0.1111111111111111
45924,KHI-DXB,Economy,25,180,63,117,47756.48,44837.94581975072,2026-07-01,12,6,1,0,337.31844284948414,381.76942821897416,274.7800228545592,,,,False,0.35
45925,KHI-LHE,Economy,15,180,65,115,20189.63,14965.685953399905,2026-07-01,13,3,0,0,333.444377611567,380.7568324884322,275.1982296604019,7485.0,8569.0,2.356124401913876,True,0.3611111111111111
45926,KHI-PEW,Economy,61,180,103,77,15154.52,14966.173412276461,2026-07-01,14,0,0,0,329.6412536032537,390.3816478951656,270.1919965784533,,,,False,0.5722222222222222
45927,KHI-PEW,Economy,8,180,105,75,9167.78,14966.173412276461,2026-07-01,15,3,0,0,337.72288766155293,385.9001741240205,284.58907109174515,,,,False,0.5833333333333334
45928,KHI-DXB,Economy,1,180,100,80,41409.2,44837.94581975072,2026-07-01,16,3,0,0,325.30334504499916,379.69619994788076,274.13368747774973,,,,False,0.5555555555555556
45929,KHI-LHE,Economy,27,180,138,42,12112.73,14965.685953399905,2026-07-01,17,1,0,0,343.26967141096833,382.6930256013061,272.53359340508405,7485.0,8569.0,1.4135523398296184,True,0.7666666666666667
45930,LHE-ISB,Business,27,180,71,109,43724.02,42494.91089800444,2026-07-01,18,1,0,0,329.80563943848887,381.09973666512815,277.3498030544722,,,,False,0.39444444444444443
45931,KHI-ISB,Economy,16,180,131,49,9002.9,14814.069359582543,2026-07-01,19,4,0,0,329.5693390536865,374.6380936490877,280.58560126704964,7432.0,29077.333333333332,0.30961917644900955,True,0.7277777777777777
45932,KHI-PEW,Business,50,180,88,92,42542.22,42737.64187978142,2026-07-01,20,3,0,0,335.58859091781824,378.92023419917484,272.2827891094236,,,,False,0.4888888888888889
45933,KHI-LHE,Economy,21,180,146,34,9972.21,14965.685953399905,2026-07-01,21,2,0,0,344.03322346967883,377.5695293727316,286.7601500696323,7485.0,8569.0,1.1637542303652701,True,0.8111111111111111
45934,LHE-ISB,Economy,57,180,118,62,8975.48,15096.179715825576,2026-07-01,22,3,0,1,327.687334293442,383.2816929205838,267.97436985707384,,,,False,0.6555555555555556
45935,KHI-DXB,Economy,9,180,20,160,54421.34,44837.94581975072,2026-07-01,23,4,0,0,341.5626683566854,385.79095084586874,280.76280968840604,,,,False,0.1111111111111111
45936,KHI-ISB,Economy,3,180,71,109,17996.4,14814.069359582543,2026-07-01,0,5,1,0,340.2711072254789,381.44608853751447,278.0983325841449,7432.0,29077.333333333332,0.6189150770359502,True,0.39444444444444443
45937,KHI-DXB,Economy,7,180,43,137,48046.52,44837.94581975072,2026-07-01,1,2,0,0,328.1881135364917,381.33554643197266,270.48646713913024,,,,False,0.2388888888888889
45938,LHE-ISB,Business,14,180,114,66,38310.95,42494.91089800444,2026-07-01,2,2,0,0,340.5536319503922,381.9126332966571,286.0409871483034,,,,False,0.6333333333333333
45939,KHI-ISB,Economy,21,180,74,106,15861.43,14814.069359582543,2026-07-01,3,2,0,0,330.7421871376099,381.52846401494406,276.74390273846234,7432.0,29077.333333333332,0.5454912188187822,True,0.4111111111111111
45940,KHI-ISB,Business,83,180,127,53,38688.49,42435.13461851475,2026-07-01,4,1,0,0,341.1846170102533,379.54638648693896,280.48822333601095,7432.0,29077.333333333332,1.3305377613719735,True,0.7055555555555556
45941,LHE-ISB,Business,38,180,91,89,24993.9,42494.91089800444,2026-07-01,5,5,1,0,329.7397960143387,375.35010145732275,269.9581481768148,,,,False,0.5055555555555555
45942,KHI-LHE,Business,6,180,107,73,52329.38,42157.36867324561,2026-07-01,6,1,0,0,325.23487449053937,392.5355825865841,282.23749983438165,7485.0,8569.0,6.106824600303419,True,0.5944444444444444
45943,KHI-ISB,Economy,47,180,130,50,13900.51,14814.069359582543,2026-07-01,7,0,0,0,329.7893931052676,391.04972322897163,275.91313664598493,7432.0,29077.333333333332,0.4780531227072634,True,0.7222222222222222
45944,KHI-PEW,Economy,46,180,21,159,21118.29,14966.173412276461,2026-07-01,8,6,1,1,329.3478300035164,383.8934357868328,276.617169758634,,,,False,0.11666666666666667
45945,KHI-LHE,Economy,7,180,142,38,8414.06,14965.685953399905,2026-07-01,9,2,0,0,327.5508564309962,388.08583630630153,276.0216528845169,7485.0,8569.0,0.9819185435873496,True,0.7888888888888889
45946,KHI-DXB,Economy,37,180,131,49,39319.12,44837.94581975072,2026-07-01,10,4,0,0,338.6196960466209,378.21349934787963,284.08694310533065,,,,False,0.7277777777777777
45947,KHI-ISB,Business,56,180,64,116,54907.6,42435.13461851475,2026-07-01,11,2,0,1,337.3651079133586,391.76270776726005,280.6303845699718,7432.0,29077.333333333332,1.8883299706529715,True,0.35555555555555557
45948,KHI-ISB,Business,82,180,28,152,52283.42,42435.13461851475,2026-07-01,12,0,0,0,342.0134879640787,379.1034897213252,278.8236895421226,7432.0,29077.333333333332,1.798081667278063,True,0.15555555555555556
45949,LHE-ISB,Business,5,180,88,92,38787.65,42494.91089800444,2026-07-01,13,0,0,0,338.51719015930195,377.24994537887653,287.6073344264488,,,,False,0.4888888888888889
45950,KHI-PEW,Business,2,180,103,77,34770.38,42737.64187978142,2026-07-01,14,4,0,0,330.66363422830926,375.0687492854853,272.81853606223325,,,,False,0.5722222222222222
45951,KHI-DXB,Business,49,180,104,76,87426.69,110639.33540295118,2026-07-01,15,2,0,0,328.26188695775915,384.0805587500607,287.4125375827072,,,,False,0.5777777777777777
45952,LHE-ISB,Business,73,180,53,127,50764.94,42494.91089800444,2026-07-01,16,5,1,0,335.73053899020334,391.3676496497927,283.88804615539846,,,,False,0.29444444444444445
45953,KHI-LHE,Economy,46,180,92,88,12014.9,14965.685953399905,2026-07-01,17,6,1,1,340.10914275137026,373.99765321954374,287.7256581113007,7485.0,8569.0,1.4021356050881082,True,0.5111111111111111
45954,KHI-ISB,Economy,34,180,153,27,9644.15,14814.069359582543,2026-07-01,18,1,0,0,332.40395292692295,385.84507418257067,277.86859456571716,7432.0,29077.333333333332,0.33167243672046953,True,0.85
45955,LHE-ISB,Economy,64,180,75,105,18375.76,15096.179715825576,2026-07-01,19,3,0,0,335.5650760511901,380.3042885106274,268.57715447259153,,,,False,0.4166666666666667
45956,KHI-LHE,Economy,43,180,95,85,13882.34,14965.685953399905,2026-07-01,20,3,0,1,337.5897003078121,391.36544322365575,279.0991563486539,7485.0,8569.0,1.6200653518496908,True,0.5277777777777778
45957,KHI-PEW,Economy,25,180,152,28,9002.53,14966.173412276461,2026-07-01,21,6,1,0,344.16459283529355,390.721268415804,277.13502681522357,,,,False,0.8444444444444444
45958,KHI-ISB,Economy,6,180,99,81,8641.06,14814.069359582543,2026-07-01,22,1,0,0,334.1166990032009,378.1968796169752,278.17193725671103,7432.0,29077.333333333332,0.2971751192223037,True,0.55
45959,KHI-LHE,Economy,69,180,121,59,16404.96,14965.685953399905,2026-07-01,23,1,0,1,336.61216021625927,379.6164272148895,283.7904678589744,7485.0,8569.0,1.9144544287548138,True,0.6722222222222223
45960,KHI-ISB,Economy,2,180,52,128,15150.04,14814.069359582543,2026-07-01,0,4,0,0,338.1131827604749,384.6190255317126,280.56156793099314,7432.0,29077.333333333332,0.5210257703595012,True,0.28888888888888886
45961,KHI-PEW,Business,81,180,133,47,37173.09,42737.64187978142,2026-07-01,1,6,1,0,340.2953147631135,387.0522233935564,283.9124583875831,,,,False,0.7388888888888889
45962,KHI-PEW,Economy,15,180,102,78,12117.41,14966.173412276461,2026-07-01,2,3,0,0,332.23266133378564,385.8937433804422,282.327104820023,,,,False,0.5666666666666667
45963,KHI-DXB,Economy,25,180,72,108,38016.5,44837.94581975072,2026-07-01,3,6,1,0,341.59225188442724,387.6918914980779,274.59899859645833,,,,False,0.4
45964,KHI-ISB,Business,27,180,65,115,51088.42,42435.13461851475,2026-07-01,4,1,0,0,329.6160922231698,374.3322286910759,268.71046411230117,7432.0,29077.333333333332,1.756984363536317,True,0.3611111111111111
45965,KHI-PEW,Business,47,180,79,101,29550.72,42737.64187978142,2026-07-01,5,0,0,0,342.80186624193607,373.6124912827111,269.78954240734254,,,,False,0.4388888888888889
45966,KHI-ISB,Economy,47,180,107,73,18498.01,14814.069359582543,2026-07-01,6,0,0,0,335.3685551789821,389.64111065322635,286.98790991495343,7432.0,29077.333333333332,0.6361659712032282,True,0.5944444444444444
45967,KHI-DXB,Economy,78,180,94,86,39018.02,44837.94581975072,2026-07-01,7,3,0,0,338.484734714495,390.22334154536964,272.59475988635506,,,,False,0.5222222222222223
45968,KHI-LHE,Business,81,180,89,91,51665.64,42157.36867324561,2026-07-01,8,6,1,0,338.13930040978835,392.64883864009863,276.2965679959637,7485.0,8569.0,6.029366320457463,True,0.49444444444444446
45969,KHI-DXB,Economy,2,180,102,78,39728.62,44837.94581975072,2026-07-01,9,4,0,0,328.3431778910953,385.9151902411519,284.80943678685145,,,,False,0.5666666666666667
45970,KHI-LHE,Economy,49,180,108,72,9905.39,14965.685953399905,2026-07-01,10,2,0,0,334.96365973081146,392.2467567865385,284.830341747418,7485.0,8569.0,1.155956354300385,True,0.6
45971,KHI-LHE,Economy,25,180,35,145,18711.86,14965.685953399905,2026-07-01,11,6,1,0,333.12763404613094,374.0424157867993,284.44144730680256,7485.0,8569.0,2.183669039561209,True,0.19444444444444445
45972,KHI-PEW,Economy,70,180,79,101,22440.33,14966.173412276461,2026-07-01,12,2,0,0,325.6463631202793,392.31579015941554,268.54688399234846,,,,False,0.4388888888888889
45973,LHE-ISB,Economy,78,180,101,79,19672.98,15096.179715825576,2026-07-01,13,3,0,0,342.91002083485415,375.07328647645164,282.1766326219192,,,,False,0.5611111111111111
45974,LHE-ISB,Economy,11,180,60,120,16718.19,15096.179715825576,2026-07-01,14,6,1,0,335.7172726233127,393.05756938259276,281.4759618225581,,,,False,0.3333333333333333
45975,KHI-DXB,Business,24,180,20,160,139893.51,110639.33540295118,2026-07-01,15,5,1,0,326.34855429314337,384.20676579599314,275.29030183644056,,,,False,0.1111111111111111
45976,LHE-ISB,Economy,39,180,134,46,13715.24,15096.179715825576,2026-07-01,16,6,1,0,339.88046016410186,391.70489493667577,283.6878561581982,,,,False,0.7444444444444445
45977,KHI-ISB,Economy,24,180,83,97,14861.52,14814.069359582543,2026-07-01,17,5,1,0,343.170361915717,391.4130821794209,278.17866338459703,7432.0,29077.333333333332,0.5111032648569332,True,0.46111111111111114
45978,KHI-LHE,Economy,38,180,23,157,20126.64,14965.685953399905,2026-07-01,18,5,1,0,337.1881103442432,384.30635821017233,269.56753518789964,7485.0,8569.0,2.3487734858209826,True,0.12777777777777777
45979,LHE-ISB,Economy,42,180,94,86,18781.16,15096.179715825576,2026-07-01,19,2,0,1,341.83423955323326,373.87802178428456,280.065288649938,,,,False,0.5222222222222223
45980,LHE-ISB,Economy,67,180,116,64,9663.88,15096.179715825576,2026-07-01,20,6,1,1,338.9001138951414,377.6475504023561,275.32373237045414,,,,False,0.6444444444444445
45981,KHI-DXB,Economy,5,180,42,138,44922.97,44837.94581975072,2026-07-01,21,0,0,0,335.1103057330357,382.7303435271447,268.4771090513364,,,,False,0.23333333333333334
45982,LHE-ISB,Business,26,180,73,107,52354.3,42494.91089800444,2026-07-01,22,0,0,0,331.8813110348742,373.6368132513174,280.95358687292367,,,,False,0.40555555555555556
45983,KHI-DXB,Business,5,180,164,16,84864.3,110639.33540295118,2026-07-01,23,0,0,0,343.05061297382576,391.9456404138876,269.64346612199455,,,,False,0.9111111111111111
45984,KHI-DXB,Economy,4,180,46,134,49799.44,44837.94581975072,2026-07-01,0,6,1,0,343.71726493369493,392.90689743483017,270.9615340496978,,,,False,0.25555555555555554
45985,LHE-ISB,Economy,18,180,122,58,14030.26,15096.179715825576,2026-07-01,1,6,1,0,332.9394262658296,384.70052713909337,276.6987168692265,,,,False,0.6777777777777778
45986,KHI-LHE,Economy,6,180,125,55,11547.21,14965.685953399905,2026-07-01,2,1,0,0,340.771729766764,379.6989455374146,281.3579269071984,7485.0,8569.0,1.3475563076204924,True,0.6944444444444444
45987,KHI-LHE,Business,14,180,51,129,56493.91,42157.36867324561,2026-07-01,3,2,0,0,338.52261492395604,379.25313217504237,270.53796340043164,7485.0,8569.0,6.592824133504493,True,0.2833333333333333
45988,KHI-LHE,Economy,5,180,91,89,18815.23,14965.685953399905,2026-07-01,4,0,0,0,340.7408883154507,390.5134798939272,275.08678392750045,7485.0,8569.0,2.195732290815731,True,0.5055555555555555
45989,KHI-ISB,Economy,10,180,101,79,12349.77,14814.069359582543,2026-07-01,5,5,1,0,342.57560379590103,386.2307975959798,273.037736096637,7432.0,29077.333333333332,0.4247215471386647,True,0.5611111111111111
45990,KHI-ISB,Business,38,180,44,136,43261.79,42435.13461851475,2026-07-01,6,5,1,0,344.4402566784508,385.88579669877424,273.8721400577461,7432.0,29077.333333333332,1.4878183464783568,True,0.24444444444444444
45991,KHI-PEW,Economy,31,180,84,96,13593.01,14966.173412276461,2026-07-01,7,5,1,0,337.6743657777323,385.7704508368047,274.50934990676024,,,,False,0.4666666666666667
45992,KHI-ISB,Business,27,180,82,98,59032.31,42435.13461851475,2026-07-01,8,1,0,0,327.9067448843755,384.8461743245711,285.7399787399802,7432.0,29077.333333333332,2.030183075018342,True,0.45555555555555555
45993,KHI-ISB,Economy,6,180,108,72,16266.23,14814.069359582543,2026-07-01,9,1,0,0,329.98660236313367,389.05173765695486,280.24073406935065,7432.0,29077.333333333332,0.5594127155172414,True,0.6
45994,KHI-PEW,Economy,36,180,81,99,18228.94,14966.173412276461,2026-07-01,10,3,0,0,338.79557893372686,379.62495961939453,269.8792109539195,,,,False,0.45
45995,KHI-PEW,Economy,16,180,67,113,18779.65,14966.173412276461,2026-07-01,11,4,0,0,334.99449474534225,390.8372502277923,271.3524427926089,,,,False,0.37222222222222223
45996,KHI-PEW,Economy,42,180,91,89,17426.93,14966.173412276461,2026-07-01,12,2,0,1,330.6223482185087,382.6480055950162,280.9478283135689,,,,False,0.5055555555555555
45997,KHI-DXB,Economy,16,180,109,71,39892.16,44837.94581975072,2026-07-01,13,4,0,0,331.84864195027757,375.54648899921347,280.28454858163894,,,,False,0.6055555555555555
45998,KHI-DXB,Economy,45,180,126,54,36604.62,44837.94581975072,2026-07-01,14,5,1,1,337.025066549488,375.2778879153403,272.10926519548667,,,,False,0.7
45999,KHI-LHE,Economy,29,180,81,99,11770.51,14965.685953399905,2026-07-01,15,3,0,0,335.01057786471364,381.2528877144656,282.8789888203607,7485.0,8569.0,1.3736153576846772,True,0.45
46000,KHI-ISB,Economy,18,180,95,85,15314.1,14814.069359582543,2026-07-01,16,6,1,0,332.88583777363186,382.00387186098783,281.94925308573687,7432.0,29077.333333333332,0.5266679658840793,True,0.5277777777777778
46001,LHE-ISB,Economy,5,180,163,17,9166.02,15096.179715825576,2026-07-01,17,0,0,0,336.47603998768056,389.91255333318406,287.1371728306282,,,,False,0.9055555555555556
46002,KHI-DXB,Economy,23,180,107,73,35786.86,44837.94581975072,2026-07-01,18,4,0,0,328.34789336719314,376.37908435103543,279.03427545436415,,,,False,0.5944444444444444
46003,KHI-LHE,Business,10,180,82,98,47825.92,42157.36867324561,2026-07-01,19,5,1,0,344.8521677682697,388.02478967711966,283.6267493366411,7485.0,8569.0,5.581272027074338,True,0.45555555555555555
46004,KHI-DXB,Economy,45,180,151,29,37554.4,44837.94581975072,2026-07-01,20,5,1,1,327.6255644085016,379.05043042364736,269.6028360514372,,,,False,0.8388888888888889
46005,KHI-PEW,Business,25,180,117,63,26486.39,42737.64187978142,2026-07-01,21,6,1,0,338.42366390031776,389.13487030871386,281.109867977456,,,,False,0.65
46006,KHI-DXB,Economy,14,180,98,82,40780.85,44837.94581975072,2026-07-01,22,2,0,0,344.891853755899,373.799245482686,279.5544623466759,,,,False,0.5444444444444444
46007,KHI-DXB,Economy,22,180,123,57,46055.45,44837.94581975072,2026-07-01,23,3,0,0,326.37682822815594,392.25853581131,283.39244934043137,,,,False,0.6833333333333333
46008,KHI-LHE,Economy,46,180,155,25,10513.2,14965.685953399905,2026-07-01,0,6,1,1,328.2065415392651,378.81127314756185,278.06119034282744,7485.0,8569.0,1.2268876181584782,True,0.8611111111111112
46009,LHE-ISB,Economy,36,180,64,116,13270.66,15096.179715825576,2026-07-01,1,3,0,0,337.9035755112874,391.9975250098429,267.8788312785434,,,,False,0.35555555555555557
46010,KHI-ISB,Economy,48,180,147,33,11796.27,14814.069359582543,2026-07-01,2,1,0,0,331.85063701944847,393.0281907785389,286.31979988964116,7432.0,29077.333333333332,0.4056861014306677,True,0.8166666666666667
46011,KHI-PEW,Business,18,180,23,157,52897.41,42737.64187978142,2026-07-01,3,6,1,0,345.0088015350432,392.3614420909878,283.414835201573,,,,False,0.12777777777777777
46012,KHI-DXB,Economy,57,180,96,84,53713.59,44837.94581975072,2026-07-01,4,3,0,1,344.20015525128537,382.2158620244355,275.36433647483506,,,,False,0.5333333333333333
46013,KHI-LHE,Economy,45,180,77,103,16575.81,14965.685953399905,2026-07-01,5,5,1,1,342.6200576740655,375.4155553569609,282.3451923017951,7485.0,8569.0,1.934392577897071,True,0.42777777777777776
46014,KHI-PEW,Economy,48,180,86,94,13811.96,14966.173412276461,2026-07-01,6,1,0,0,338.87824302332507,374.72430641943873,272.01718442193777,,,,False,0.4777777777777778
46015,KHI-PEW,Economy,19,180,59,121,15711.24,14966.173412276461,2026-07-01,7,0,0,0,331.620358667468,389.05724221210903,283.551940163061,,,,False,0.3277777777777778
46016,LHE-ISB,Economy,65,180,68,112,18912.71,15096.179715825576,2026-07-01,8,4,0,1,342.1000612199953,390.33472437526785,285.90120087404176,,,,False,0.37777777777777777
46017,KHI-LHE,Economy,60,180,51,129,18329.58,14965.685953399905,2026-07-01,9,6,1,0,342.82495991937003,389.9080665511072,278.61437808360336,7485.0,8569.0,2.139057066168748,True,0.2833333333333333
46018,KHI-ISB,Economy,7,180,55,125,19666.5,14814.069359582543,2026-07-01,10,2,0,0,336.23834341715065,383.64294503930836,286.5283605488734,7432.0,29077.333333333332,0.6763515682318415,True,0.3055555555555556
46019,KHI-DXB,Economy,73,180,72,108,43072.6,44837.94581975072,2026-07-01,11,5,1,0,330.1416444287411,380.07296125714186,278.1145002149516,,,,False,0.4
46020,KHI-LHE,Economy,17,180,52,128,20626.06,14965.685953399905,2026-07-01,12,5,1,0,339.3990276527837,374.15736189064165,277.4801876944317,7485.0,8569.0,2.407055665771969,True,0.28888888888888886
46021,KHI-PEW,Economy,59,180,75,105,14452.29,14966.173412276461,2026-07-01,13,5,1,0,334.6680288184394,389.7391314511225,283.50225001696714,,,,False,0.4166666666666667
46022,LHE-ISB,Business,15,180,59,121,55284.41,42494.91089800444,2026-07-01,14,3,0,0,338.80287140737755,391.5455748524775,270.33937692581367,,,,False,0.3277777777777778
46023,KHI-PEW,Economy,62,180,77,103,20748.57,14966.173412276461,2026-07-01,15,1,0,0,329.69099790894785,385.92309512963874,278.7458251348746,,,,False,0.42777777777777776
46024,LHE-ISB,Business,10,180,88,92,29068.14,42494.91089800444,2026-07-01,16,5,1,0,341.54042540144974,375.7016172734488,285.79442860260997,,,,False,0.4888888888888889
46025,LHE-ISB,Economy,5,180,118,62,13413.88,15096.179715825576,2026-07-01,17,0,0,0,332.4685670519922,393.4127567475688,271.43498808672626,,,,False,0.6555555555555556
46026,KHI-LHE,Economy,23,180,109,71,14622.86,14965.685953399905,2026-07-01,18,4,0,0,337.16943084013286,388.20734752839655,277.1541885676661,7485.0,8569.0,1.7064838370871747,True,0.6055555555555555
46027,LHE-ISB,Economy,20,180,38,142,17393.26,15096.179715825576,2026-07-01,19,1,0,0,341.52674746522786,384.88893836533384,268.69009164316486,,,,False,0.2111111111111111
46028,LHE-ISB,Business,59,180,100,80,40379.16,42494.91089800444,2026-07-01,20,5,1,0,337.52971917934883,376.4525988303963,287.45605903131803,,,,False,0.5555555555555556
46029,KHI-ISB,Business,33,180,128,52,29727.24,42435.13461851475,2026-07-01,21,0,0,0,344.9019954237332,387.4803293150666,270.3575461642311,7432.0,29077.333333333332,1.022350972120323,True,0.7111111111111111
46030,LHE-ISB,Economy,16,180,80,100,15499.35,15096.179715825576,2026-07-01,22,4,0,0,340.4297644021233,384.61147267938827,286.83327331714315,,,,False,0.4444444444444444
46031,KHI-DXB,Economy,32,180,127,53,44670.03,44837.94581975072,2026-07-01,23,6,1,0,333.65271760913197,384.61974782044194,277.65051419062263,,,,False,0.7055555555555556
46032,KHI-ISB,Economy,35,180,131,49,14764.19,14814.069359582543,2026-07-01,0,2,0,0,331.3676092270194,376.07569974613125,272.78508475996296,7432.0,29077.333333333332,0.5077559840425532,True,0.7277777777777777
46033,KHI-ISB,Business,51,180,111,69,46946.24,42435.13461851475,2026-07-01,1,4,0,0,336.57302247019004,391.22732047136947,270.4401387831757,7432.0,29077.333333333332,1.6145304475421864,True,0.6166666666666667
46034,KHI-ISB,Economy,25,180,83,97,19418.56,14814.069359582543,2026-07-01,2,6,1,0,338.3814720394234,393.18291466035816,279.8816195805966,7432.0,29077.333333333332,0.6678246515040352,True,0.46111111111111114
46035,LHE-ISB,Business,30,180,146,34,36493.88,42494.91089800444,2026-07-01,3,4,0,0,340.4558560481918,382.1747872989738,280.5490296973031,,,,False,0.8111111111111111
46036,KHI-DXB,Economy,16,180,25,155,51281.08,44837.94581975072,2026-07-01,4,4,0,0,327.33527380623366,388.80872286662793,276.2222397584433,,,,False,0.1388888888888889
46037,KHI-PEW,Business,87,180,97,83,34155.34,42737.64187978142,2026-07-01,5,5,1,0,329.86244900159204,391.0756220896737,268.78123813237954,,,,False,0.5388888888888889
46038,KHI-DXB,Economy,19,180,36,144,47398.58,44837.94581975072,2026-07-01,6,0,0,0,333.41418517799735,392.4334682277691,273.6719083797288,,,,False,0.2
46039,KHI-LHE,Economy,45,180,98,82,12070.77,14965.685953399905,2026-07-01,7,5,1,1,329.9028213456803,382.52135723422754,273.8259751670508,7485.0,8569.0,1.408655619092076,True,0.5444444444444444
46040,KHI-PEW,Business,26,180,87,93,28432.02,42737.64187978142,2026-07-01,8,0,0,0,329.6989979029207,392.79796988111735,286.34791442008316,,,,False,0.48333333333333334
46041,KHI-LHE,Business,32,180,66,114,57293.35,42157.36867324561,2026-07-01,9,6,1,0,332.49991139104367,373.551456149594,285.81902510117595,7485.0,8569.0,6.686118566927296,True,0.36666666666666664
46042,KHI-LHE,Economy,14,180,103,77,14740.3,14965.685953399905,2026-07-01,10,2,0,0,344.5817429323918,381.87360508693115,279.5931353904778,7485.0,8569.0,1.7201890535651767,True,0.5722222222222222
46043,LHE-ISB,Economy,67,180,142,38,9010.92,15096.179715825576,2026-07-01,11,6,1,1,332.50827501584746,389.4132186022931,277.35187212755966,,,,False,0.7888888888888889
46044,KHI-ISB,Economy,10,180,86,94,17952.23,14814.069359582543,2026-07-01,12,5,1,0,334.1104108035724,375.50759744895515,277.8787747337444,7432.0,29077.333333333332,0.6173960243947175,True,0.4777777777777778
46045,LHE-ISB,Economy,19,180,88,92,10803.3,15096.179715825576,2026-07-01,13,0,0,0,335.2696719137902,373.8629279093637,277.4143143364581,,,,False,0.4888888888888889
46046,KHI-DXB,Economy,59,180,132,48,38002.59,44837.94581975072,2026-07-01,14,5,1,0,343.6270048122799,385.3739961254162,274.2991949368401,,,,False,0.7333333333333333
46047,LHE-ISB,Economy,58,180,59,121,21299.25,15096.179715825576,2026-07-01,15,4,0,0,338.7539658487155,377.4564173324989,275.01811030955514,,,,False,0.3277777777777778
46048,KHI-DXB,Economy,28,180,92,88,46162.17,44837.94581975072,2026-07-01,16,2,0,0,328.3217400790752,388.5353738101109,270.671713087827,,,,False,0.5111111111111111
46049,KHI-PEW,Economy,80,180,128,52,11605.57,14966.173412276461,2026-07-01,17,5,1,0,329.74312044698956,389.50459996578786,278.4360779422225,,,,False,0.7111111111111111
46050,KHI-LHE,Business,2,180,50,130,58434.07,42157.36867324561,2026-07-01,18,4,0,0,329.7985675821514,390.18244695410755,273.3035392693094,7485.0,8569.0,6.8192402847473454,True,0.2777777777777778
46051,LHE-ISB,Economy,43,180,97,83,8595.11,15096.179715825576,2026-07-01,19,3,0,1,335.1733002467856,377.70122101905974,287.058674343261,,,,False,0.5388888888888889
46052,KHI-ISB,Economy,33,180,97,83,8423.37,14814.069359582543,2026-07-01,20,0,0,0,333.6295024987821,388.0841402085903,276.00068007946436,7432.0,29077.333333333332,0.28968853173147474,True,0.5388888888888889
46053,KHI-PEW,Economy,41,180,89,91,17069.98,14966.173412276461,2026-07-01,21,1,0,0,336.64318164450003,393.2701784017864,285.83993608712086,,,,False,0.49444444444444446
46054,KHI-DXB,Business,39,180,58,122,140487.05,110639.33540295118,2026-07-01,22,6,1,0,336.85686138493986,386.38495045745,274.79672799466033,,,,False,0.32222222222222224
46055,KHI-ISB,Business,28,180,90,90,35403.26,42435.13461851475,2026-07-01,23,2,0,0,327.36709671039597,391.59742205830753,285.1666033009643,7432.0,29077.333333333332,1.2175552549523112,True,0.5
