route,origin,destination,days_to_departure,flight_class,price_pkr,total_seats,booked_seats,remaining_seats
KHI-LHE,Karachi,Lahore,77,Business,56563.59,180,83,97
KHI-PEW,Karachi,Peshawar,43,Business,55693.61,180,73,107
LHE-ISB,Lahore,Islamabad,47,Business,57207.46,180,89,91
KHI-DXB,Karachi,Dubai,32,Business,136101.33,180,80,100
KHI-ISB,Karachi,Islamabad,70,Business,54713.39,180,36,144
KHI-ISB,Karachi,Islamabad,4,Business,58837.61,180,47,133
KHI-DXB,Karachi,Dubai,39,Business,139581.32,180,37,143
KHI-ISB,Karachi,Islamabad,8,Business,58952.45,180,53,127
KHI-LHE,Karachi,Lahore,17,Business,57953.66,180,55,125
KHI-ISB,Karachi,Islamabad,31,Business,59332.87,180,56,124
KHI-DXB,Karachi,Dubai,4,Business,140859.08,180,73,107
KHI-ISB,Karachi,Islamabad,75,Business,59361.6,180,74,106
KHI-LHE,Karachi,Lahore,1,Business,55790.27,180,26,154
LHE-ISB,Lahore,Islamabad,51,Business,57887.69,180,35,145
KHI-LHE,Karachi,Lahore,18,Business,59096.07,180,67,113
KHI-LHE,Karachi,Lahore,3,Business,57576.38,180,28,152
KHI-DXB,Karachi,Dubai,30,Business,142489.74,180,51,129
KHI-PEW,Karachi,Peshawar,23,Business,59566.55,180,55,125
KHI-DXB,Karachi,Dubai,0,Business,140864.45,180,67,113
KHI-LHE,Karachi,Lahore,17,Business,60007.34,180,20,160
KHI-DXB,Karachi,Dubai,5,Business,143484.73,180,20,160
KHI-PEW,Karachi,Peshawar,72,Business,59470.08,180,62,118
KHI-LHE,Karachi,Lahore,48,Business,25574.44,180,93,87
KHI-ISB,Karachi,Islamabad,70,Business,26196.08,180,103,77
KHI-PEW,Karachi,Peshawar,39,Business,24633.52,180,143,37
KHI-LHE,Karachi,Lahore,14,Business,24621.49,180,139,41
LHE-ISB,Lahore,Islamabad,47,Business,25588.28,180,175,5
KHI-LHE,Karachi,Lahore,10,Business,25399.66,180,125,55
LHE-ISB,Lahore,Islamabad,16,Business,26248.64,180,139,41
KHI-ISB,Karachi,Islamabad,3,Business,24465.35,180,133,47
KHI-DXB,Karachi,Dubai,6,Business,80869.38,180,137,43
KHI-DXB,Karachi,Dubai,40,Business,86447.06,180,133,47
LHE-ISB,Lahore,Islamabad,61,Business,34194.69,180,94,86
KHI-DXB,Karachi,Dubai,15,Business,93482.69,180,115,65
LHE-ISB,Lahore,Islamabad,9,Business,36454.39,180,115,65
KHI-PEW,Karachi,Peshawar,31,Business,44073.55,180,58,122
KHI-LHE,Karachi,Lahore,44,Business,44657.62,180,107,73
KHI-LHE,Karachi,Lahore,64,Business,43019.93,180,117,63
LHE-ISB,Lahore,Islamabad,49,Business,43129.45,180,59,121
KHI-DXB,Karachi,Dubai,27,Business,115630.4,180,75,105
KHI-PEW,Karachi,Peshawar,13,Business,44298.81,180,111,69
KHI-LHE,Karachi,Lahore,20,Business,45485.51,180,45,135
KHI-DXB,Karachi,Dubai,8,Business,114393.13,180,81,99
LHE-ISB,Lahore,Islamabad,23,Business,45393.75,180,42,138
KHI-PEW,Karachi,Peshawar,54,Business,42553.2,180,127,53
KHI-ISB,Karachi,Islamabad,20,Business,42254.12,180,109,71
LHE-ISB,Lahore,Islamabad,55,Business,45433.31,180,114,66
KHI-PEW,Karachi,Peshawar,17,Business,44143.14,180,75,105
KHI-DXB,Karachi,Dubai,60,Business,111002.27,180,86,94
KHI-DXB,Karachi,Dubai,70,Business,108865.43,180,93,87
KHI-ISB,Karachi,Islamabad,32,Business,44265.51,180,45,135
KHI-DXB,Karachi,Dubai,35,Business,114145.94,180,104,76
KHI-DXB,Karachi,Dubai,13,Business,112282.83,180,49,131
KHI-DXB,Karachi,Dubai,51,Business,113224.03,180,90,90
LHE-ISB,Lahore,Islamabad,24,Business,42925.35,180,93,87
KHI-ISB,Karachi,Islamabad,47,Business,45005.61,180,81,99
KHI-DXB,Karachi,Dubai,15,Business,113983.5,180,78,102
KHI-PEW,Karachi,Peshawar,55,Business,43482.12,180,57,123
KHI-PEW,Karachi,Peshawar,17,Business,45169.18,180,90,90
LHE-ISB,Lahore,Islamabad,4,Business,43451.93,180,97,83
LHE-ISB,Lahore,Islamabad,38,Business,43981.4,180,131,49
LHE-ISB,Lahore,Islamabad,5,Business,45079.22,180,67,113
KHI-PEW,Karachi,Peshawar,8,Business,43945.7,180,45,135
KHI-ISB,Karachi,Islamabad,13,Business,45348.93,180,76,104
KHI-DXB,Karachi,Dubai,12,Business,110062.99,180,53,127
LHE-ISB,Lahore,Islamabad,16,Business,42348.22,180,100,80
KHI-ISB,Karachi,Islamabad,20,Business,42419.8,180,68,112
LHE-ISB,Lahore,Islamabad,6,Business,44652.71,180,93,87
KHI-ISB,Karachi,Islamabad,29,Business,43275.55,180,77,103
KHI-DXB,Karachi,Dubai,48,Business,114861.52,180,68,112
KHI-ISB,Karachi,Islamabad,2,Business,44384.63,180,113,67
KHI-LHE,Karachi,Lahore,34,Business,44198.72,180,99,81
LHE-ISB,Lahore,Islamabad,49,Business,52667.47,180,25,155
LHE-ISB,Lahore,Islamabad,15,Business,54786.28,180,82,98
KHI-DXB,Karachi,Dubai,9,Business,130979.8,180,67,113
KHI-PEW,Karachi,Peshawar,60,Business,55422.55,180,67,113
KHI-PEW,Karachi,Peshawar,43,Business,55755.13,180,33,147
KHI-LHE,Karachi,Lahore,28,Business,56350.55,180,56,124
KHI-DXB,Karachi,Dubai,85,Business,142849.41,180,20,160
KHI-PEW,Karachi,Peshawar,39,Business,55958.8,180,20,160
KHI-DXB,Karachi,Dubai,71,Business,145045.65,180,87,93
KHI-PEW,Karachi,Peshawar,2,Business,58152.78,180,78,102
KHI-LHE,Karachi,Lahore,55,Business,57564.51,180,74,106
KHI-LHE,Karachi,Lahore,10,Business,54859.09,180,53,127
KHI-PEW,Karachi,Peshawar,69,Business,57400.86,180,98,82
KHI-DXB,Karachi,Dubai,32,Business,136993.19,180,23,157
KHI-LHE,Karachi,Lahore,19,Business,57666.56,180,20,160
LHE-ISB,Lahore,Islamabad,32,Business,55477.23,180,92,88
LHE-ISB,Lahore,Islamabad,45,Business,56267.81,180,62,118
KHI-PEW,Karachi,Peshawar,69,Business,55233.62,180,83,97
KHI-ISB,Karachi,Islamabad,36,Business,57837.06,180,20,160
KHI-PEW,Karachi,Peshawar,30,Business,55062.31,180,20,160
KHI-ISB,Karachi,Islamabad,23,Business,56525.19,180,55,125
LHE-ISB,Lahore,Islamabad,32,Business,55575.51,180,51,129
KHI-LHE,Karachi,Lahore,45,Business,55489.06,180,20,160
KHI-PEW,Karachi,Peshawar,4,Business,58126.37,180,29,151
KHI-ISB,Karachi,Islamabad,28,Business,56217.1,180,54,126
LHE-ISB,Lahore,Islamabad,56,Business,58202.35,180,93,87
KHI-DXB,Karachi,Dubai,57,Business,145240.54,180,46,134
KHI-DXB,Karachi,Dubai,51,Business,146933.61,180,20,160
KHI-PEW,Karachi,Peshawar,3,Business,60266.58,180,54,126
LHE-ISB,Lahore,Islamabad,11,Business,58027.14,180,77,103
KHI-PEW,Karachi,Peshawar,76,Business,60500.72,180,70,110
KHI-LHE,Karachi,Lahore,31,Business,59602.4,180,28,152
KHI-DXB,Karachi,Dubai,64,Business,142914.76,180,73,107
KHI-ISB,Karachi,Islamabad,17,Business,59114.31,180,76,104
LHE-ISB,Lahore,Islamabad,3,Business,60345.4,180,20,160
KHI-PEW,Karachi,Peshawar,70,Business,60351.45,180,20,160
LHE-ISB,Lahore,Islamabad,5,Business,61075.83,180,20,160
LHE-ISB,Lahore,Islamabad,28,Business,59163.19,180,86,94
LHE-ISB,Lahore,Islamabad,21,Business,24984.88,180,171,9
KHI-LHE,Karachi,Lahore,31,Business,25751.78,180,164,16
LHE-ISB,Lahore,Islamabad,61,Business,24513.92,180,169,11
KHI-LHE,Karachi,Lahore,34,Business,25950.15,180,105,75
KHI-ISB,Karachi,Islamabad,56,Business,26182.63,180,145,35
KHI-DXB,Karachi,Dubai,35,Business,68751.67,180,119,61
LHE-ISB,Lahore,Islamabad,68,Business,24903.67,180,90,90
KHI-ISB,Karachi,Islamabad,51,Business,25268.64,180,175,5
LHE-ISB,Lahore,Islamabad,32,Business,26924.61,180,167,13
KHI-LHE,Karachi,Lahore,35,Business,26696.96,180,94,86
KHI-PEW,Karachi,Peshawar,50,Business,29440.51,180,141,39
KHI-PEW,Karachi,Peshawar,51,Business,33926.16,180,133,47
KHI-ISB,Karachi,Islamabad,24,Business,34506.1,180,99,81
KHI-PEW,Karachi,Peshawar,31,Business,36456.84,180,122,58
KHI-LHE,Karachi,Lahore,10,Business,43544.66,180,102,78
KHI-PEW,Karachi,Peshawar,47,Business,44408.33,180,120,60
KHI-PEW,Karachi,Peshawar,43,Business,42860.91,180,95,85
KHI-LHE,Karachi,Lahore,22,Business,44707.11,180,51,129
KHI-DXB,Karachi,Dubai,59,Business,113650.51,180,94,86
KHI-DXB,Karachi,Dubai,60,Business,111537.5,180,111,69
KHI-PEW,Karachi,Peshawar,35,Business,44891.94,180,121,59
KHI-DXB,Karachi,Dubai,32,Business,116094.25,180,78,102
KHI-ISB,Karachi,Islamabad,31,Business,43005.58,180,43,137
KHI-PEW,Karachi,Peshawar,34,Business,43320.24,180,54,126
KHI-PEW,Karachi,Peshawar,8,Business,45096.35,180,90,90
LHE-ISB,Lahore,Islamabad,68,Business,43248.36,180,114,66
KHI-PEW,Karachi,Peshawar,33,Business,45046.57,180,96,84
KHI-LHE,Karachi,Lahore,24,Business,45129.78,180,84,96
KHI-ISB,Karachi,Islamabad,5,Business,42625.35,180,48,132
KHI-PEW,Karachi,Peshawar,8,Business,44958.28,180,97,83
LHE-ISB,Lahore,Islamabad,51,Business,43210.79,180,97,83
KHI-DXB,Karachi,Dubai,29,Business,115172.34,180,47,133
LHE-ISB,Lahore,Islamabad,54,Business,44152.85,180,114,66
KHI-PEW,Karachi,Peshawar,8,Business,43059.44,180,60,120
KHI-ISB,Karachi,Islamabad,5,Business,43393.26,180,47,133
KHI-PEW,Karachi,Peshawar,23,Business,44856.02,180,113,67
KHI-LHE,Karachi,Lahore,38,Business,44071.44,180,120,60
KHI-ISB,Karachi,Islamabad,21,Business,44754.62,180,64,116
KHI-LHE,Karachi,Lahore,26,Business,43501.02,180,76,104
KHI-DXB,Karachi,Dubai,51,Business,109731.39,180,69,111
KHI-PEW,Karachi,Peshawar,36,Business,44594.68,180,101,79
KHI-DXB,Karachi,Dubai,72,Business,109290.61,180,62,118
KHI-ISB,Karachi,Islamabad,23,Business,45265.64,180,49,131
LHE-ISB,Lahore,Islamabad,22,Business,43349.68,180,102,78
KHI-LHE,Karachi,Lahore,58,Business,43057.3,180,50,130
KHI-ISB,Karachi,Islamabad,23,Business,44286.67,180,120,60
KHI-LHE,Karachi,Lahore,21,Business,44519.7,180,64,116
KHI-DXB,Karachi,Dubai,34,Business,112904.56,180,128,52
KHI-LHE,Karachi,Lahore,57,Business,44797.84,180,42,138
KHI-ISB,Karachi,Islamabad,27,Business,44864.28,180,73,107
KHI-DXB,Karachi,Dubai,8,Business,118635.51,180,106,74
KHI-PEW,Karachi,Peshawar,30,Business,55188.06,180,26,154
KHI-LHE,Karachi,Lahore,46,Business,55447.95,180,86,94
LHE-ISB,Lahore,Islamabad,49,Business,53294.82,180,53,127
LHE-ISB,Lahore,Islamabad,21,Business,55204.93,180,85,95
KHI-PEW,Karachi,Peshawar,4,Business,52230.05,180,39,141
KHI-ISB,Karachi,Islamabad,18,Business,51935.57,180,46,134
KHI-DXB,Karachi,Dubai,84,Business,145822.46,180,63,117
KHI-PEW,Karachi,Peshawar,51,Business,55971.48,180,63,117
KHI-PEW,Karachi,Peshawar,48,Business,55591.82,180,77,103
LHE-ISB,Lahore,Islamabad,4,Business,55235.94,180,20,160
KHI-DXB,Karachi,Dubai,37,Business,145096.5,180,30,150
KHI-ISB,Karachi,Islamabad,48,Business,55366.29,180,84,96
KHI-DXB,Karachi,Dubai,25,Business,140520.7,180,38,142
KHI-PEW,Karachi,Peshawar,49,Business,56020.27,180,48,132
KHI-PEW,Karachi,Peshawar,73,Business,53947.48,180,78,102
LHE-ISB,Lahore,Islamabad,19,Business,57888.98,180,96,84
KHI-PEW,Karachi,Peshawar,44,Business,58313.98,180,42,138
KHI-PEW,Karachi,Peshawar,17,Business,56438.07,180,38,142
KHI-PEW,Karachi,Peshawar,24,Business,56682.2,180,46,134
KHI-LHE,Karachi,Lahore,2,Business,54615.25,180,98,82
KHI-PEW,Karachi,Peshawar,59,Business,56011.94,180,63,117
KHI-DXB,Karachi,Dubai,24,Business,142306.7,180,45,135
LHE-ISB,Lahore,Islamabad,57,Business,55319.82,180,20,160
KHI-DXB,Karachi,Dubai,31,Business,149201.33,180,54,126
KHI-DXB,Karachi,Dubai,11,Business,144489.68,180,94,86
KHI-ISB,Karachi,Islamabad,52,Business,57712.23,180,35,145
KHI-DXB,Karachi,Dubai,69,Business,145013.4,180,80,100
KHI-ISB,Karachi,Islamabad,54,Business,58773.3,180,32,148
KHI-PEW,Karachi,Peshawar,29,Business,58857.92,180,79,101
KHI-ISB,Karachi,Islamabad,24,Business,57637.66,180,51,129
LHE-ISB,Lahore,Islamabad,68,Business,56397.27,180,76,104
KHI-PEW,Karachi,Peshawar,79,Business,59090.52,180,94,86
LHE-ISB,Lahore,Islamabad,7,Business,58454.57,180,49,131
KHI-LHE,Karachi,Lahore,78,Business,55419.58,180,72,108
LHE-ISB,Lahore,Islamabad,19,Business,57362.17,180,62,118
KHI-LHE,Karachi,Lahore,3,Business,59143.95,180,27,153
KHI-LHE,Karachi,Lahore,16,Business,56442.97,180,93,87
KHI-DXB,Karachi,Dubai,69,Business,145398.59,180,79,101
LHE-ISB,Lahore,Islamabad,54,Business,56147.12,180,50,130
KHI-LHE,Karachi,Lahore,73,Business,55507.41,180,20,160
KHI-LHE,Karachi,Lahore,43,Business,25605.22,180,166,14
KHI-DXB,Karachi,Dubai,56,Business,72015.61,180,106,74
KHI-ISB,Karachi,Islamabad,10,Business,24742.17,180,141,39
LHE-ISB,Lahore,Islamabad,3,Business,24681.96,180,163,17
KHI-LHE,Karachi,Lahore,35,Business,26324.78,180,172,8
KHI-LHE,Karachi,Lahore,10,Business,25893.16,180,98,82
KHI-PEW,Karachi,Peshawar,54,Business,25864.05,180,144,36
LHE-ISB,Lahore,Islamabad,27,Business,24847.05,180,165,15
KHI-PEW,Karachi,Peshawar,19,Business,27867.63,180,155,25
LHE-ISB,Lahore,Islamabad,74,Business,30880.45,180,114,66
KHI-PEW,Karachi,Peshawar,10,Business,29634.32,180,124,56
LHE-ISB,Lahore,Islamabad,11,Business,32455.61,180,108,72
KHI-LHE,Karachi,Lahore,8,Business,34949.35,180,130,50
KHI-ISB,Karachi,Islamabad,25,Business,34578.14,180,98,82
KHI-LHE,Karachi,Lahore,24,Business,43493.44,180,69,111
LHE-ISB,Lahore,Islamabad,4,Business,43203.15,180,113,67
LHE-ISB,Lahore,Islamabad,27,Business,44255.94,180,124,56
LHE-ISB,Lahore,Islamabad,16,Business,44826.07,180,65,115
LHE-ISB,Lahore,Islamabad,51,Business,44885.44,180,77,103
KHI-ISB,Karachi,Islamabad,33,Business,42530.02,180,72,108
KHI-PEW,Karachi,Peshawar,26,Business,45311.89,180,122,58
KHI-LHE,Karachi,Lahore,33,Business,44088.4,180,90,90
KHI-PEW,Karachi,Peshawar,38,Business,43995.13,180,92,88
KHI-LHE,Karachi,Lahore,9,Business,45133.89,180,75,105
LHE-ISB,Lahore,Islamabad,70,Business,44726.31,180,65,115
KHI-DXB,Karachi,Dubai,49,Business,110446.93,180,48,132
KHI-DXB,Karachi,Dubai,19,Business,110938.99,180,113,67
LHE-ISB,Lahore,Islamabad,33,Business,44401.56,180,97,83
KHI-PEW,Karachi,Peshawar,42,Business,43885.57,180,102,78
KHI-LHE,Karachi,Lahore,20,Business,44173.3,180,117,63
LHE-ISB,Lahore,Islamabad,46,Business,43629.22,180,101,79
KHI-DXB,Karachi,Dubai,7,Business,112608.19,180,68,112
KHI-PEW,Karachi,Peshawar,31,Business,45442.31,180,47,133
KHI-PEW,Karachi,Peshawar,12,Business,45625.26,180,82,98
KHI-LHE,Karachi,Lahore,8,Business,44296.74,180,117,63
KHI-LHE,Karachi,Lahore,57,Business,44932.59,180,66,114
KHI-PEW,Karachi,Peshawar,16,Business,44761.39,180,79,101
KHI-ISB,Karachi,Islamabad,15,Business,42847.07,180,130,50
KHI-DXB,Karachi,Dubai,28,Business,112751.72,180,50,130
KHI-LHE,Karachi,Lahore,12,Business,42475.04,180,105,75
LHE-ISB,Lahore,Islamabad,38,Business,42952.0,180,65,115
KHI-ISB,Karachi,Islamabad,4,Business,42623.95,180,50,130
KHI-LHE,Karachi,Lahore,67,Business,45313.39,180,124,56
KHI-DXB,Karachi,Dubai,65,Business,113707.14,180,119,61
KHI-DXB,Karachi,Dubai,62,Business,112885.91,180,119,61
KHI-ISB,Karachi,Islamabad,6,Business,44399.58,180,68,112
KHI-DXB,Karachi,Dubai,24,Business,119533.11,180,94,86
LHE-ISB,Lahore,Islamabad,34,Business,53022.96,180,105,75
KHI-DXB,Karachi,Dubai,14,Business,140958.92,180,89,91
KHI-ISB,Karachi,Islamabad,27,Business,55818.49,180,20,160
KHI-ISB,Karachi,Islamabad,35,Business,52975.24,180,63,117
LHE-ISB,Lahore,Islamabad,36,Business,53639.04,180,94,86
KHI-DXB,Karachi,Dubai,25,Business,138029.67,180,84,96
KHI-ISB,Karachi,Islamabad,32,Business,54440.81,180,78,102
KHI-ISB,Karachi,Islamabad,65,Business,55773.05,180,57,123
KHI-LHE,Karachi,Lahore,35,Business,55973.38,180,98,82
KHI-LHE,Karachi,Lahore,26,Business,57370.67,180,71,109
KHI-DXB,Karachi,Dubai,28,Business,136095.16,180,20,160
KHI-PEW,Karachi,Peshawar,6,Business,54155.04,180,43,137
KHI-PEW,Karachi,Peshawar,12,Business,56424.51,180,51,129
KHI-PEW,Karachi,Peshawar,17,Business,55733.59,180,24,156
KHI-LHE,Karachi,Lahore,30,Business,57193.0,180,59,121
KHI-PEW,Karachi,Peshawar,20,Business,58121.91,180,67,113
LHE-ISB,Lahore,Islamabad,46,Business,57956.19,180,96,84
KHI-LHE,Karachi,Lahore,23,Business,55573.53,180,88,92
KHI-DXB,Karachi,Dubai,6,Business,142150.47,180,68,112
KHI-LHE,Karachi,Lahore,64,Business,55054.34,180,20,160
KHI-LHE,Karachi,Lahore,18,Business,55013.4,180,61,119
KHI-LHE,Karachi,Lahore,9,Business,57001.2,180,72,108
KHI-LHE,Karachi,Lahore,24,Business,57602.22,180,64,116
LHE-ISB,Lahore,Islamabad,15,Business,56416.64,180,65,115
KHI-DXB,Karachi,Dubai,35,Business,141614.81,180,44,136
KHI-ISB,Karachi,Islamabad,42,Business,57496.12,180,29,151
KHI-PEW,Karachi,Peshawar,74,Business,57908.49,180,42,138
KHI-DXB,Karachi,Dubai,28,Business,139947.62,180,21,159
KHI-DXB,Karachi,Dubai,19,Business,149098.83,180,27,153
KHI-LHE,Karachi,Lahore,12,Business,58384.62,180,87,93
KHI-ISB,Karachi,Islamabad,28,Business,56802.41,180,27,153
LHE-ISB,Lahore,Islamabad,50,Business,58586.6,180,20,160
KHI-ISB,Karachi,Islamabad,22,Business,59777.27,180,77,103
LHE-ISB,Lahore,Islamabad,15,Business,58990.36,180,38,142
KHI-ISB,Karachi,Islamabad,37,Business,57917.51,180,52,128
KHI-LHE,Karachi,Lahore,34,Business,60191.72,180,56,124
LHE-ISB,Lahore,Islamabad,47,Business,57434.34,180,62,118
KHI-ISB,Karachi,Islamabad,10,Business,60275.19,180,67,113
LHE-ISB,Lahore,Islamabad,33,Business,58522.91,180,51,129
KHI-ISB,Karachi,Islamabad,42,Business,59751.52,180,79,101
KHI-ISB,Karachi,Islamabad,37,Business,61794.92,180,20,160
KHI-ISB,Karachi,Islamabad,17,Business,60818.53,180,54,126
LHE-ISB,Lahore,Islamabad,54,Business,25215.84,180,159,21
KHI-DXB,Karachi,Dubai,56,Business,71418.95,180,118,62
LHE-ISB,Lahore,Islamabad,40,Business,25861.25,180,99,81
LHE-ISB,Lahore,Islamabad,14,Business,25396.87,180,152,28
KHI-DXB,Karachi,Dubai,52,Business,69548.35,180,130,50
KHI-DXB,Karachi,Dubai,32,Business,72381.34,180,116,64
LHE-ISB,Lahore,Islamabad,35,Business,24378.28,180,153,27
KHI-ISB,Karachi,Islamabad,8,Business,27658.38,180,138,42
LHE-ISB,Lahore,Islamabad,30,Business,29175.22,180,125,55
KHI-ISB,Karachi,Islamabad,21,Business,28961.68,180,168,12
KHI-LHE,Karachi,Lahore,39,Business,31168.2,180,107,73
LHE-ISB,Lahore,Islamabad,46,Business,34393.36,180,136,44
KHI-PEW,Karachi,Peshawar,14,Business,36624.61,180,89,91
KHI-PEW,Karachi,Peshawar,16,Business,36015.72,180,124,56
KHI-LHE,Karachi,Lahore,25,Business,43811.6,180,123,57
KHI-DXB,Karachi,Dubai,3,Business,111811.64,180,50,130
KHI-DXB,Karachi,Dubai,80,Business,116098.32,180,69,111
KHI-DXB,Karachi,Dubai,64,Business,109468.38,180,97,83
KHI-PEW,Karachi,Peshawar,67,Business,42958.92,180,109,71
KHI-DXB,Karachi,Dubai,70,Business,109026.82,180,87,93
KHI-LHE,Karachi,Lahore,27,Business,43780.12,180,46,134
KHI-DXB,Karachi,Dubai,24,Business,111999.72,180,91,89
LHE-ISB,Lahore,Islamabad,21,Business,42975.13,180,93,87
KHI-DXB,Karachi,Dubai,57,Business,110968.62,180,53,127
LHE-ISB,Lahore,Islamabad,8,Business,42569.57,180,78,102
KHI-ISB,Karachi,Islamabad,55,Business,45349.05,180,81,99
LHE-ISB,Lahore,Islamabad,4,Business,45439.15,180,90,90
KHI-LHE,Karachi,Lahore,16,Business,42852.03,180,49,131
KHI-ISB,Karachi,Islamabad,14,Business,43464.46,180,124,56
LHE-ISB,Lahore,Islamabad,20,Business,43790.19,180,65,115
KHI-LHE,Karachi,Lahore,31,Business,45146.44,180,114,66
KHI-PEW,Karachi,Peshawar,52,Business,42747.59,180,87,93
KHI-ISB,Karachi,Islamabad,53,Business,44312.08,180,114,66
KHI-LHE,Karachi,Lahore,40,Business,44679.09,180,122,58
KHI-PEW,Karachi,Peshawar,54,Business,42602.55,180,92,88
KHI-LHE,Karachi,Lahore,6,Business,45235.78,180,105,75
LHE-ISB,Lahore,Islamabad,42,Business,45221.27,180,68,112
KHI-LHE,Karachi,Lahore,25,Business,44087.95,180,78,102
KHI-PEW,Karachi,Peshawar,41,Business,45635.48,180,70,110
KHI-PEW,Karachi,Peshawar,34,Business,45643.07,180,128,52
KHI-ISB,Karachi,Islamabad,81,Business,43286.78,180,109,71
KHI-LHE,Karachi,Lahore,22,Business,45521.34,180,100,80
KHI-DXB,Karachi,Dubai,10,Business,114249.08,180,96,84
KHI-ISB,Karachi,Islamabad,31,Business,47741.93,180,55,125
KHI-ISB,Karachi,Islamabad,64,Business,52178.19,180,101,79
KHI-LHE,Karachi,Lahore,46,Business,55059.52,180,40,140
KHI-PEW,Karachi,Peshawar,34,Business,53673.08,180,91,89
LHE-ISB,Lahore,Islamabad,8,Business,53430.82,180,35,145
LHE-ISB,Lahore,Islamabad,44,Business,53773.34,180,30,150
KHI-PEW,Karachi,Peshawar,4,Business,56896.85,180,35,145
KHI-DXB,Karachi,Dubai,33,Business,139674.88,180,95,85
KHI-ISB,Karachi,Islamabad,5,Business,56979.58,180,20,160
LHE-ISB,Lahore,Islamabad,65,Business,54590.31,180,86,94
KHI-ISB,Karachi,Islamabad,9,Business,57558.22,180,41,139
KHI-LHE,Karachi,Lahore,1,Business,53972.0,180,48,132
KHI-LHE,Karachi,Lahore,80,Business,57324.31,180,54,126
KHI-ISB,Karachi,Islamabad,29,Business,54902.22,180,72,108
KHI-LHE,Karachi,Lahore,42,Business,57530.45,180,76,104
KHI-DXB,Karachi,Dubai,32,Business,144325.77,180,42,138
KHI-ISB,Karachi,Islamabad,46,Business,55444.09,180,67,113
KHI-LHE,Karachi,Lahore,23,Business,55832.44,180,20,160
LHE-ISB,Lahore,Islamabad,25,Business,58213.65,180,38,142
KHI-ISB,Karachi,Islamabad,12,Business,56371.9,180,20,160
KHI-LHE,Karachi,Lahore,56,Business,55617.12,180,84,96
KHI-ISB,Karachi,Islamabad,49,Business,59394.7,180,83,97
LHE-ISB,Lahore,Islamabad,10,Business,56178.29,180,21,159
LHE-ISB,Lahore,Islamabad,20,Business,56081.08,180,62,118
LHE-ISB,Lahore,Islamabad,65,Business,58697.3,180,57,123
KHI-ISB,Karachi,Islamabad,11,Business,56361.76,180,20,160
KHI-PEW,Karachi,Peshawar,59,Business,58606.64,180,90,90
KHI-ISB,Karachi,Islamabad,19,Business,59879.31,180,62,118
KHI-ISB,Karachi,Islamabad,34,Business,57580.0,180,59,121
KHI-DXB,Karachi,Dubai,58,Business,145822.01,180,20,160
KHI-ISB,Karachi,Islamabad,24,Business,58411.59,180,78,102
KHI-ISB,Karachi,Islamabad,5,Business,60081.81,180,59,121
KHI-LHE,Karachi,Lahore,7,Business,58316.51,180,20,160
KHI-LHE,Karachi,Lahore,43,Business,60354.72,180,20,160
LHE-ISB,Lahore,Islamabad,14,Business,60925.99,180,24,156
LHE-ISB,Lahore,Islamabad,7,Business,61054.81,180,29,151
KHI-LHE,Karachi,Lahore,17,Business,60216.67,180,68,112
KHI-LHE,Karachi,Lahore,23,Business,59967.61,180,51,129
LHE-ISB,Lahore,Islamabad,24,Business,59273.32,180,80,100
KHI-PEW,Karachi,Peshawar,38,Business,58185.57,180,75,105
LHE-ISB,Lahore,Islamabad,15,Business,60118.25,180,68,112
KHI-DXB,Karachi,Dubai,70,Business,147040.76,180,20,160
KHI-LHE,Karachi,Lahore,13,Business,61189.37,180,43,137
KHI-ISB,Karachi,Islamabad,54,Business,60957.77,180,20,160
KHI-DXB,Karachi,Dubai,41,Business,151011.33,180,47,133
LHE-ISB,Lahore,Islamabad,8,Business,58404.97,180,61,119
KHI-LHE,Karachi,Lahore,72,Business,61165.43,180,48,132
KHI-LHE,Karachi,Lahore,6,Business,24364.75,180,170,10
KHI-DXB,Karachi,Dubai,15,Business,72725.51,180,166,14
LHE-ISB,Lahore,Islamabad,46,Business,25099.39,180,128,52
LHE-ISB,Lahore,Islamabad,53,Business,25710.91,180,99,81
KHI-LHE,Karachi,Lahore,27,Business,24680.33,180,143,37
KHI-LHE,Karachi,Lahore,8,Business,25436.44,180,146,34
KHI-ISB,Karachi,Islamabad,63,Business,25265.48,180,151,29
LHE-ISB,Lahore,Islamabad,17,Business,25961.85,180,113,67
LHE-ISB,Lahore,Islamabad,82,Business,26246.76,180,130,50
LHE-ISB,Lahore,Islamabad,2,Business,26607.92,180,141,39
KHI-DXB,Karachi,Dubai,31,Business,82506.62,180,133,47
KHI-LHE,Karachi,Lahore,79,Business,31652.91,180,122,58
KHI-ISB,Karachi,Islamabad,58,Business,37053.47,180,65,115
KHI-LHE,Karachi,Lahore,8,Business,36106.01,180,129,51
KHI-ISB,Karachi,Islamabad,14,Business,44474.35,180,53,127
KHI-PEW,Karachi,Peshawar,31,Business,42588.97,180,95,85
KHI-DXB,Karachi,Dubai,40,Business,112155.39,180,73,107
KHI-LHE,Karachi,Lahore,66,Business,45034.44,180,66,114
KHI-LHE,Karachi,Lahore,63,Business,42340.28,180,92,88
LHE-ISB,Lahore,Islamabad,13,Business,44103.41,180,51,129
LHE-ISB,Lahore,Islamabad,30,Business,44654.35,180,105,75
KHI-LHE,Karachi,Lahore,72,Business,44961.1,180,43,137
KHI-LHE,Karachi,Lahore,12,Business,45189.97,180,115,65
